Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
1,5212872,"Ryan Wong","2020-09-15 16:57:52",0.681,103,taggatle
2,5170166,Niw,"2020-09-15 13:28:02",0.677,151,vlomme
3,5129161,"Is this a Pigeon?","2020-09-15 13:23:16",0.675,108,"amedprof,kneroma,louise2001,theoviel,ulrich07"
4,5113927,[DimaBert]UsuSani,"2020-09-15 18:20:38",0.670,91,"khapilins,vladimirsydor"
5,5113692,"The Birds by Alfred Hitchcock","2020-09-15 20:55:44",0.669,81,yaroshevskiy
6,5115315,Deepでポン🎶,"2020-09-15 00:55:27",0.668,126,hidehisaarai1213
7,5310485,"[CP-JKU] Three Geese and a GAN","2020-09-15 23:47:30",0.668,23,"del=890ba1da075b7d6e,janschl,khalvic,lusama"
8,5415572,这也太难了吧,"2020-09-15 20:42:44",0.663,48,rguo97
9,5333624,"Dee is a BIRD","2020-09-15 12:01:13",0.658,74,"canalici,realsleim"
10,5113938,Barázdabillegető,"2020-09-15 19:26:26",0.649,129,gaborfodor
11,5217811,Matthias,"2020-09-15 17:13:40",0.647,42,matthiasanderer
12,5381437,FLY🐤🐤🐤,"2020-09-15 14:36:38",0.646,67,nvnnghia
13,5292489,TMZ,"2020-09-15 20:40:58",0.646,170,"mpware,tikutiku,zfturbo"
14,5236770,"Costas Voglis","2020-09-15 10:01:09",0.639,89,voglinio
15,5234059,Random_prediction,"2020-09-15 20:32:46",0.638,61,rytisva88
16,5403551,"Branden Murray","2020-09-15 16:33:49",0.638,32,brandenkmurray
17,5152057,甜过初恋,"2020-09-15 23:21:52",0.635,83,triplex
18,5113885,"Birdcall of Duty","2020-09-15 23:14:48",0.635,51,"cpmpml,onodera"
19,5420249,[Deleted],"2020-09-10 22:42:33",0.634,40,del=13232dd62e23c850
20,5402396,BirdLaw,"2020-08-27 10:26:30",0.632,13,birdlaw
21,5199308,HOPE,"2020-09-15 15:14:03",0.632,35,"gopidurgaprasad,seshurajup,tarique7"
22,5165473,tezdhar,"2020-09-15 18:54:39",0.631,48,tezdhar
