Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
1,11886563,"Daft Vader","2024-06-03 00:11:58",0.60275,199,syeddanish
2,11652612,HDJoJo,"2024-06-03 04:25:22",0.57830,193,hdjojo
3,11885645,"Agitation Tropicale","2024-06-03 10:21:56",0.57732,118,"changjund,liuchener,yannanzheng"
4,11661513,refomi,"2024-06-02 10:50:21",0.57545,195,pu6hedz37o5tjs0q
5,11800330,"tzian j","2024-06-02 10:03:39",0.57274,95,tzianj
6,12027797,LittlePrinces,"2024-05-30 22:22:41",0.52648,99,"co000l,lucien111,nicksibozhu"
7,11730621,WangEasy,"2024-06-02 14:31:45",0.52635,4,wangeasy
8,11802601,heeee1p,"2024-06-03 11:04:49",0.51454,97,"castletan,lyystudy,pengdadaaa,wwwmmt"
9,11833922,"Aleksandr Korotaevskiy","2024-05-24 12:52:33",0.51238,28,korotas
10,12007829,PhenoHust,"2024-06-02 05:29:06",0.49980,56,"caosongliang,poppinace,shouyangliu"
11,11706079,"Yu Wu","2024-05-11 16:39:28",0.48793,85,nightsh4de
12,11837807,221098123ChenYiyan,"2024-06-02 12:59:03",0.48604,72,yiianchen
13,12108832,"akx xiao","2024-06-02 14:26:55",0.46881,13,"akxxiao,wangzihao0315,zhouzweiqaq"
14,12069276,DDL,"2024-05-30 13:00:45",0.46779,11,chenlongduan
15,11645914,mh,"2024-05-12 10:44:58",0.45623,89,mitsuyasuhoshino
16,11913193,"MLIP 11 Tree Man Army","2024-06-03 07:08:38",0.45285,64,"feidawei,jasperjh,julianbles"
17,11772636,picassol0327,"2024-06-02 12:58:55",0.45228,13,picassol0327
18,11781936,wtlim444,"2024-06-02 01:46:13",0.44317,4,wtlim444
19,11871508,"Juntao Jiang","2024-06-02 08:42:54",0.44124,154,"juntaojiang,taoyii"
20,11918441,"MLiP 6 Monsterra","2024-05-31 19:30:17",0.43895,61,"doosjes,laurastritzel,matsrobben"
21,12031637,FarisGuo,"2024-05-21 00:20:06",0.43176,16,farisguo
22,11964457,"MLIP 35 - Gang","2024-06-02 22:19:16",0.43111,28,"castorp,joshoff,maegori"
23,11821953,halfar,"2024-06-02 18:48:21",0.42955,47,halfar
24,11798543,CVXY,"2024-05-13 19:23:21",0.42371,28,"christopherton,del=7cd802f4eb11b0ee,linggg07,sjsuying"
25,11931300,"MLiP 22 EMAI","2024-05-22 23:06:35",0.42228,44,"antoniocarpes,apatti01,neusvegas"
26,11915484,"MLiP 21 - TLM","2024-06-03 00:21:16",0.41621,66,"degraver,maartm,timhiemstra"
27,11928865,LEEJAEHOON1,"2024-06-02 22:38:06",0.41613,51,leejaehoon1
28,12119482,Fox_Lillard,"2024-05-20 23:42:08",0.41581,4,foxlillard
29,11660692,AKE-NJ,"2024-06-01 16:27:21",0.41511,36,"kongjenny,wcyjerry,zhangxiaoyi0630"
30,11765380,ArcherPan,"2024-06-03 06:17:54",0.41231,66,"archerpan,zhonghaoyi"
31,12193519,rqlvrqlv,"2024-06-03 12:20:07",0.41100,6,rqlvrqlv
32,11626167,"The Data Game","2024-05-18 06:05:35",0.41081,50,"jedrzejak,michalinahulak,piotrszefer"
33,12072450,PlantyofDL,"2024-05-13 19:33:56",0.40943,11,"anjalihimanshuojha,atak11,lulumieyang,sowmyamanchikanti"
34,11913416,MLiP10,"2024-06-03 12:27:32",0.40866,72,"janneke0210,julianroddeman,tabrom"
35,11918348,"MLiP 9 - NoodleNappers","2024-06-03 08:17:23",0.40590,111,"dickblankvoort,luepoe,tygofrancissen"
36,11798717,planttraits2024,"2024-05-13 06:54:02",0.40573,27,"akanksha1110,anjalihimanshuojha05,lumiyang,sowmyamanchim"
